data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
8786777,729,SUD16276,16276,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"Blue Nile","Ed Damazine",,"Ed Damazin",11.7898,34.3599,1,"Radio Dabanga",National,"On 9 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Ed Damazin (Ed Damazine locality, Blue Nile state), denouncing the military coup and calling for civilian government. [size=no report]",0,1642443562,SDN
8793706,729,SUD16282,16282,"09 January 2022",2022,1,Riots,"Violent demonstration","Rioters (Sudan)","Resistance Committees (Sudan)",5,"Police Forces of Sudan (2019-)","Military Forces of Sudan (2019-)",1,15,"Northern Africa",Sudan,Khartoum,Khartoum,,Khartoum,15.5725,32.5364,1,"Radio Dabanga; Sudan Tribune",National,"On 9 January 2022, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in front of the Republican Palace in Khartoum (Khartoum state), denouncing the military coup and calling for civilian government. Security forces (presumed police and military forces) fired teargas canisters and live bullets to disperse the crowd. One person was killed and several others injured. Police officers were injured and police vehicles were destroyed. [size=tens of thousands]",1,1643045661,SDN
8793707,729,SUD16283,16283,"09 January 2022",2022,1,Riots,"Violent demonstration","Rioters (Sudan)","Resistance Committees (Sudan)",5,"Police Forces of Sudan (2019-)","Military Forces of Sudan (2019-)",1,15,"Northern Africa",Sudan,Khartoum,Bahri,,"Khartoum North",15.6365,32.5303,1,"Radio Dabanga; Sudan Tribune",National,"On 9 January 2022, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Khartoum North (Bahri locality, Khartoum state), denouncing the military coup and calling for civilian government. Security forces (presumed police and military forces) fired teargas canisters and live bullets to disperse the crowd. Police vehicles were destroyed. One demonstrator was killed and dozens injured. [size=tens of thousand]",1,1643045661,SDN
8793708,729,SUD16288,16288,"09 January 2022",2022,1,Protests,"Protest with intervention","Protesters (Sudan)","Resistance Committees (Sudan)",6,"Police Forces of Sudan (2019-)","Military Forces of Sudan (2019-)",1,16,"Northern Africa",Sudan,Khartoum,Omdurman,,Omdurman,15.6573,32.4739,1,"Radio Dabanga; Sudan Tribune",National,"On 9 January 2022, tens of thousands of demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Omdurman (Khartoum state), denouncing the military coup and calling for civilian government. Security forces (presumed police and military forces) fired teargas canisters to disperse the crowd. Several people were injured. [size=tens of thousands]",0,1643045661,SDN
9197714,729,SUD16278,16278,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"North Darfur","Al Fasher",,"El Fasher",13.6264,25.3559,1,Twitter,"New media","On 9 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in El Fasher (Al Fasher locality, North Darfur), denouncing the military coup and calling for civilian government. [size=no report]",0,1652126674,SDN
9197754,729,SUD16290,16290,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,"River Nile",Shendi,,Shendi,16.6861,33.4326,1,Twitter,"New media","On 9 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in Shendi (Shendi locality, River Nile state), denouncing the military coup and calling for civilian government. [size=no report]",0,1652126674,SDN
9197851,729,SUD16285,16285,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan)",6,,,0,60,"Northern Africa",Sudan,Kassala,"Halfa Aj Jadeedah",,"New Halfa",15.3269,35.6081,1,Twitter,"New media","On 9 January 2022, demonstrators responded to the call by the Resistance Committee for nationwide demonstrations in New Halfa (Halfa Aj Jadeedah locality, Kassala state), denouncing the military coup and calling for civilian government. [size=no report]",0,1652126675,SDN
9197962,729,SUD16284,16284,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Resistance Committees (Sudan); Students (Sudan)",6,,,0,60,"Northern Africa",Sudan,"White Nile",Kosti,,Kosti,13.1485,32.6675,1,Twitter,"New media","On 9 January 2022, demonstrators, including high school students, responded to the call by the Resistance Committee for nationwide demonstrations in Kosti (White Nile state), denouncing the military coup and calling for civilian government. [size=no report]",0,1652126675,SDN
9794738,729,SUD16279,16279,"09 January 2022",2022,1,Protests,"Peaceful protest","Protesters (Sudan)","Labour Group (Sudan)",6,,,0,60,"Northern Africa",Sudan,"North Darfur","Al Fasher",,"El Fasher",13.6264,25.3559,1,"Darfur 24",Subnational,"On 9 January 2022, workers of the judiciary staged a sit in protest in front of the buildings of the judicial authority in El Fasher (Al Fasher locality, North Darfur state), demanding their financial benefits. [size=no report]",0,1674517872,SDN
9197625,729,SUD16633,16633,"08 January 2022",2022,1,"Violence against civilians",Attack,"Darfur Communal Militia (Sudan)",,4,"Civilians (Sudan)",,7,47,"Northern Africa",Sudan,"Central Darfur",Zalingi,,Zalingei,12.9075,23.4706,2,Twitter,"New media","On 8 January 2022, armed militia (assumed Darfur communal militia) attacked a passenger vehicle on road between Soug-Karko and Mellisi village (Zalingi locality, Central Darfur state) [coded to Zalingei]. There were no fatalities and six people were injured.",0,1652126674,SDN
